run_id,attempt_total,attempt_resolved,attempt_repair_rate,rule_resolved,full_resolved,unresolved,strict_success,strict_success_rate,normalized_success,normalized_success_rate,strict_normalized_delta,frozen_nonempty,strict_success_frozen_nonempty,normalized_success_frozen_nonempty,strict_success_rate_frozen_nonempty,normalized_success_rate_frozen_nonempty
humantime_claude-3-5-haiku-20241022_20251109_133407,123,80,0.650407,34,46,43,80,0.650407,80,0.650407,0.0,123,80,80,0.650407,0.650407
humantime_deepseek-v3_20251109_140004,80,54,0.675,14,40,26,54,0.675,54,0.675,0.0,80,54,54,0.675,0.675
humantime_gemini-2.5-flash-nothinking_20251109_134926,85,54,0.635294,19,35,31,54,0.635294,54,0.635294,0.0,85,54,54,0.635294,0.635294
humantime_gemini-2.5-flash-thinking_20251109_141506,70,42,0.6,12,30,28,42,0.6,42,0.6,0.0,70,42,42,0.6,0.6
humantime_gpt-3.5-turbo_20251109_000031,114,48,0.421053,25,23,66,48,0.421053,48,0.421053,0.0,111,48,48,0.432432,0.432432
humantime_gpt-4.1-mini_20251109_001052,101,74,0.732673,33,41,27,74,0.732673,74,0.732673,0.0,101,74,74,0.732673,0.732673
humantime_gpt-4.1-nano_20251109_132117,128,88,0.6875,47,41,40,88,0.6875,88,0.6875,0.0,128,88,88,0.6875,0.6875
humantime_gpt-4o-mini_20251108_234236,121,62,0.512397,39,23,59,62,0.512397,62,0.512397,0.0,121,62,62,0.512397,0.512397
humantime_gpt-5-nano_20251109_004846,122,61,0.5,38,23,61,61,0.5,62,0.508197,0.008197,118,61,61,0.516949,0.516949
itoa_gemini-2.5-flash-nothinking_20251127_010109,11,7,0.636364,0,7,4,7,0.636364,7,0.636364,0.0,11,7,7,0.636364,0.636364
log_gemini-2.5-flash-nothinking_20251127_025911,145,44,0.303448,13,31,101,44,0.303448,44,0.303448,0.0,145,44,44,0.303448,0.303448
mio_gemini-2.5-flash-nothinking_20251127_012706,175,6,0.034286,0,6,169,6,0.034286,44,0.251429,0.217143,150,5,21,0.033333,0.14
rand_gemini-2.5-flash-nothinking_20251127_025504,355,179,0.504225,93,86,176,179,0.504225,179,0.504225,0.0,334,174,174,0.520958,0.520958
rust-crc32fast_gemini-2.5-flash-nothinking_20251109_235808,9,8,0.888889,7,1,1,8,0.888889,8,0.888889,0.0,9,8,8,0.888889,0.888889
rustc-demangle_gemini-2.5-flash-nothinking_20251109_233158,150,37,0.246667,4,33,113,37,0.246667,37,0.246667,0.0,148,37,37,0.25,0.25
ryu_gemini-2.5-flash-nothinking_20251127_013142,14,8,0.571429,6,2,6,8,0.571429,8,0.571429,0.0,14,8,8,0.571429,0.571429
semver_gemini-2.5-flash-nothinking_20251127_013324,55,17,0.309091,9,8,38,17,0.309091,17,0.309091,0.0,55,17,17,0.309091,0.309091
