rank,paper_slice_role,run_id,crate,model,original_generation_total,failed_generation_attempt_total,normalized_repaired_total,original_success_added,repaired_added,recovery_ratio,recovery_ratio_display,original_success_added_functions,original_success_added_regions,repaired_added_functions,repaired_added_regions
1,positive_top_1,humantime_claude-3-5-haiku-20241022_20251109_133407,humantime,claude-3-5-haiku-20241022,139,123,68,103.0,123.0,1.194175,119.42%,26.0,193.0,12.0,157.0
2,positive_top_2,itoa_gemini-2.5-flash-nothinking_20251127_010109,itoa,gemini-2.5-flash-nothinking,25,11,8,222.0,212.0,0.954955,95.50%,29.0,513.0,29.0,505.0
3,positive_top_3,mio_gemini-2.5-flash-nothinking_20251127_012706,mio,gemini-2.5-flash-nothinking,179,175,6,45.0,24.0,0.533333,53.33%,7.0,98.0,4.0,59.0
4,positive_top_4,log_gemini-2.5-flash-nothinking_20251127_025911,log,gemini-2.5-flash-nothinking,178,145,41,230.0,121.0,0.526087,52.61%,47.0,439.0,10.0,141.0
5,positive_top_5,humantime_deepseek-v3_20251109_140004,humantime,deepseek-v3,101,80,47,164.0,78.0,0.47561,47.56%,41.0,298.0,8.0,147.0
6,positive_top_6,humantime_gemini-2.5-flash-thinking_20251109_141506,humantime,gemini-2.5-flash-thinking,95,70,28,313.0,86.0,0.27476,27.48%,52.0,712.0,8.0,116.0
7,positive_top_7,rustc-demangle_gemini-2.5-flash-nothinking_20251109_233158,rustc-demangle,gemini-2.5-flash-nothinking,161,150,19,172.0,17.0,0.098837,9.88%,32.0,270.0,2.0,18.0
8,,humantime_gpt-5-nano_20251109_004846,humantime,gpt-5-nano,138,122,58,108.0,4.0,0.037037,3.70%,23.0,201.0,1.0,6.0
9,,rand_gemini-2.5-flash-nothinking_20251127_025504,rand,gemini-2.5-flash-nothinking,496,355,165,1242.0,14.0,0.011272,1.13%,235.0,2595.0,3.0,26.0
10,zero_gain_highest_normalized_repaired,humantime_gpt-4.1-nano_20251109_132117,humantime,gpt-4.1-nano,145,128,66,100.0,0.0,0.0,0.00%,23.0,192.0,0.0,-1.0
11,,humantime_gpt-4.1-mini_20251109_001052,humantime,gpt-4.1-mini,122,101,65,169.0,0.0,0.0,0.00%,36.0,349.0,0.0,0.0
12,,humantime_gpt-4o-mini_20251108_234236,humantime,gpt-4o-mini,137,121,57,90.0,0.0,0.0,0.00%,20.0,169.0,0.0,0.0
13,,humantime_gemini-2.5-flash-nothinking_20251109_134926,humantime,gemini-2.5-flash-nothinking,110,85,48,266.0,0.0,0.0,0.00%,44.0,570.0,0.0,0.0
14,,humantime_gpt-3.5-turbo_20251109_000031,humantime,gpt-3.5-turbo,132,114,36,95.0,0.0,0.0,0.00%,27.0,173.0,0.0,0.0
15,zero_gain_highest_original_success,semver_gemini-2.5-flash-nothinking_20251127_013324,semver,gemini-2.5-flash-nothinking,94,55,10,557.0,0.0,0.0,0.00%,72.0,1323.0,0.0,0.0
16,,rust-crc32fast_gemini-2.5-flash-nothinking_20251109_235808,rust-crc32fast,gemini-2.5-flash-nothinking,35,9,9,161.0,0.0,0.0,0.00%,33.0,255.0,0.0,0.0
17,,ryu_gemini-2.5-flash-nothinking_20251127_013142,ryu,gemini-2.5-flash-nothinking,48,14,7,373.0,0.0,0.0,0.00%,32.0,816.0,0.0,0.0
