error_code,bucket,attempt_total,strict_success,strict_success_rate,normalized_success,normalized_success_rate,resolved_by_rule,resolved_by_full,unresolved,frozen_nonreproducible
E0061,E_CODE,6,0,0.0,0,0.0,0,0,6,0
E0063,E_CODE,4,3,0.75,3,0.75,0,3,1,0
E0107,E_CODE,4,2,0.5,2,0.5,0,2,2,0
E0116,E_CODE,6,0,0.0,0,0.0,0,0,6,0
E0164,E_CODE,2,1,0.5,1,0.5,0,1,1,0
E0277,E_CODE,3,0,0.0,0,0.0,0,0,3,0
E0308,E_CODE,11,5,0.454545,5,0.454545,0,5,6,0
E0404,E_CODE,3,0,0.0,0,0.0,0,0,3,0
E0423,E_CODE,1,0,0.0,0,0.0,0,0,1,0
E0425,E_CODE,3,0,0.0,0,0.0,0,0,3,0
E0428,E_CODE,2,0,0.0,0,0.0,0,0,2,0
E0432,E_CODE,24,11,0.458333,15,0.625,9,2,13,4
E0433,E_CODE,43,27,0.627907,27,0.627907,19,8,16,0
E0533,E_CODE,2,0,0.0,0,0.0,0,0,2,0
E0560,E_CODE,13,11,0.846154,11,0.846154,0,11,2,0
E0599,E_CODE,47,20,0.425532,20,0.425532,0,20,27,0
E0658,E_CODE,14,0,0.0,0,0.0,0,0,14,0
E0765,E_CODE,1,0,0.0,0,0.0,0,0,1,0
unsafe_code,NON_E_CODE,1,0,0.0,0,0.0,0,0,1,0
