batch_id,run_id,final_status,normalized_status,final_stage,attempt_count,rule_duration_sec,full_duration_sec,final_pending,strict_success,normalized_success,strict_normalized_delta,frozen_status
humantime_direct_llm_1shot::batch_0001,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.198,3.707,True,False,False,0,frozen_cleared
humantime_direct_llm_1shot::batch_0002,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.611,4.156,True,False,False,0,frozen_cleared
humantime_direct_llm_1shot::batch_0003,humantime_direct_llm_1shot,resolved_by_full,normalized_resolved,full,1,5.56,20.505,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0004,humantime_direct_llm_1shot,resolved_by_full,normalized_resolved,full,1,3.2,23.932,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0005,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,3.667,33.043,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0006,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.13,75.756,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0007,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.623,75.757,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0008,humantime_direct_llm_1shot,resolved_by_full,normalized_resolved,full,1,4.358,27.72,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0009,humantime_direct_llm_1shot,resolved_by_rule,normalized_resolved,rule,1,3.93,,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0010,humantime_direct_llm_1shot,resolved_by_full,normalized_resolved,full,1,3.759,29.071,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0011,humantime_direct_llm_1shot,resolved_by_rule,normalized_resolved,rule,1,4.205,,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0012,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.696,29.508,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0013,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.467,47.06,True,False,False,0,frozen_cleared
humantime_direct_llm_1shot::batch_0014,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.857,43.551,True,False,False,0,frozen_cleared
humantime_direct_llm_1shot::batch_0015,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,3.995,50.667,True,False,False,0,frozen_cleared
humantime_direct_llm_1shot::batch_0016,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.859,16.867,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0017,humantime_direct_llm_1shot,resolved_by_full,normalized_resolved,full,1,5.126,12.515,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0018,humantime_direct_llm_1shot,resolved_by_full,normalized_resolved,full,1,4.846,8.671,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0019,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.765,19.97,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0020,humantime_direct_llm_1shot,resolved_by_rule,normalized_resolved,rule,1,6.568,,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0021,humantime_direct_llm_1shot,resolved_by_rule,normalized_resolved,rule,1,3.613,,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0022,humantime_direct_llm_1shot,resolved_by_rule,normalized_resolved,rule,1,4.163,,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0023,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.348,46.795,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0024,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.235,76.977,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0025,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.814,56.591,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0026,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.228,41.622,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0027,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,3.939,47.281,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0028,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.357,56.764,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0029,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.523,75.607,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0030,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,4.677,84.46,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0031,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.006,43.684,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0032,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.855,246.052,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0033,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.126,325.472,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0034,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.97,174.532,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0035,humantime_direct_llm_1shot,resolved_by_rule,normalized_resolved,rule,1,7.308,,False,True,True,0,frozen_cleared
humantime_direct_llm_1shot::batch_0036,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.809,85.716,True,False,False,0,frozen_unresolved
